ibgeID;Municipio;ESPVIDA;E_ANOSESTUDO;T_ANALF18M;RDPC;IDHM
1300839;CAAPIRANGA;71,49;7,77;16,27;235,49;0,569
1300904;CANUTAMA;70,1;6,86;31,5;206,44;0,53
1301001;CARAUARI;69,68;7,22;31,44;222,32;0,549
1301100;CAREIRO;71,76;7,91;14,86;197,06;0,557
1301159;CAREIRO DA VÁRZEA;71,76;7,62;17,94;207,18;0,568
1301209;COARI;71,79;7,65;18,67;347,2;0,586
1301308;CODAJÁS;71,49;7,94;20,39;239,64;0,563
1301407;EIRUNEPÉ;70,37;7,73;36,14;241,86;0,563
1301506;ENVIRA;68,63;6,33;35,05;204,98;0,509
1301605;FONTE BOA;68,13;7,37;26,62;200,4;0,53
1301654;GUAJARÁ;70,7;6,97;35,2;191,04;0,532
1301704;HUMAITÁ;72,47;7,53;18,54;382,13;0,605
1301803;IPIXUNA;71,32;5,51;40,62;154,54;0,481
1301852;IRANDUBA;72,94;8,12;14,38;349,23;0,613
1301902;ITACOATIARA;73,66;8,76;9,94;373,71;0,644
1301951;ITAMARATI;71,32;5,84;40,71;214,95;0,477
1302009;ITAPIRANGA;72,54;8,16;9,26;321,94;0,654
1302108;JAPURÁ;69,85;6,09;29,28;248,6;0,522
1302207;JURUÁ;67,24;6,02;36,45;227,39;0,522
1302306;JUTAÍ;70,93;6,37;30,74;214,36;0,516
1302405;LÁBREA;69,62;7,01;31,17;227,62;0,531
1302504;MANACAPURU;72,69;8,63;17,11;342,58;0,614
1302553;MANAQUIRI;69,88;8,15;11,52;254,15;0,596
1302603;MANAUS;74,54;9,51;4;790,27;0,737
1302702;MANICORÉ;69,83;8,2;18,27;295,23;0,582
1302801;MARAÃ;70,78;6,02;19,38;144,99;0,498
1302900;MAUÉS;72,97;9,26;11,23;244,3;0,588
1303007;NHAMUNDÁ;71,73;8,85;9,85;195,12;0,586
1303106;NOVA OLINDA DO NORTE;71,81;6,99;13,99;232,07;0,558
1303205;NOVO AIRÃO;71,55;7,37;16,66;246,44;0,57
1303304;NOVO ARIPUANÃ;70,52;7,58;21,18;219,69;0,554
1303403;PARINTINS;72,97;9,45;6,57;313,07;0,658
1303502;PAUINI;68,45;4,72;30,96;218,21;0,496
1303536;PRESIDENTE FIGUEIREDO;73,1;8,46;7,82;396,51;0,647
1303569;RIO PRETO DA EVA;72,12;8,49;12,13;315,24;0,611
1303601;SANTA ISABEL DO RIO NEGRO;69,2;4,8;33,43;141,04;0,479
1303700;SANTO ANTÔNIO DO IÇÁ;70,52;6,49;23,18;122,21;0,49
1303809;SÃO GABRIEL DA CACHOEIRA;71,59;7,5;15,87;355,51;0,609
1303908;SÃO PAULO DE OLIVENÇA;71,77;6,73;24,86;150,28;0,521
1303957;SÃO SEBASTIÃO DO UATUMÃ;69,34;8,01;11,16;262,79;0,577
1304005;SILVES;72,47;9,54;8,55;238,53;0,632
1304062;TABATINGA;71,12;8,26;15,63;338,4;0,616
1304104;TAPAUÁ;66,61;6,35;33,62;193,97;0,502
1304203;TEFÉ;73,04;8,49;15,65;421,41;0,639
1304237;TONANTINS;71,74;7,3;21,83;189,15;0,548
1304260;UARINI;68,43;6,94;20,46;223,11;0,527
1304302;URUCARÁ;70,26;8,87;8,89;246,99;0,62
1304401;URUCURITUBA;71,53;8,28;10,06;227,55;0,588
1400027;AMAJARI;73,9;4,72;39,65;121,32;0,484
1400050;ALTO ALEGRE;73,78;5,66;40,86;201,32;0,542
1400100;BOA VISTA;73,95;9,5;6,27;786,55;0,752
1400159;BONFIM;73,52;8,2;14,71;329,22;0,626
1400175;CANTÁ;73,19;8,58;19,01;297,59;0,619
1400209;CARACARAÍ;71,77;8,07;14,48;336,05;0,624
1400233;CAROEBE;72,48;9,57;13,39;334,97;0,639
1400282;IRACEMA;73,61;7,45;31,57;261,18;0,582
1400308;MUCAJAÍ;73,79;8,38;18,62;487,66;0,665
1400407;NORMANDIA;73,06;7,52;13,7;203,43;0,594
1400456;PACARAIMA;72,29;8,52;10,79;388,35;0,65
1400472;RORAINÓPOLIS;72,86;7,54;15,98;284,22;0,619
1400506;SÃO JOÃO DA BALIZA;71,81;8,88;12,63;365,67;0,655
1400605;SÃO LUIZ;72,29;8,18;13,27;344,73;0,649
1400704;UIRAMUTÃ;70,95;4,73;31,63;123,16;0,453
1500107;ABAETETUBA;72,89;8,99;14,97;293,01;0,628
1500131;ABEL FIGUEIREDO;73;8,51;19,24;390,12;0,622
1500206;ACARÁ;70,44;6,03;22,85;199,34;0,506
1500305;AFUÁ;71,43;6,59;31,73;163,98;0,489
1500347;ÁGUA AZUL DO NORTE;72,83;7,48;12,56;266,02;0,564
1500404;ALENQUER;71,72;7,82;17,15;215,33;0,564
1500503;ALMEIRIM;73,55;8,61;14,85;484,16;0,642
1500602;ALTAMIRA;73,64;8,65;13,41;492,05;0,665
1500701;ANAJÁS;71,43;6,6;36,1;186,88;0,484
1500800;ANANINDEUA;74,24;9,65;3,62;564,76;0,718
1500859;ANAPU;72,25;7,63;20,98;266,28;0,548
1500909;AUGUSTO CORRÊA;71,3;7,46;28,83;159,05;0,52
1500958;AURORA DO PARÁ;71,38;6,55;25,21;184,39;0,519
1501006;AVEIRO;69,87;7,82;15,12;148,71;0,541
1501105;BAGRE;71,59;5,57;26,08;159,41;0,471
1501204;BAIÃO;71,18;8,19;14,93;226,99;0,578
1501253;BANNACH;72,06;7,8;19,54;416,31;0,594
1501303;BARCARENA;73,04;8,93;9,17;437,43;0,662
1501402;BELÉM;74,33;9,64;3,47;853,82;0,746
1501451;BELTERRA;71,51;9,05;13,57;241,57;0,588
1501501;BENEVIDES;72,9;9,42;7,3;385,83;0,665
1501576;BOM JESUS DO TOCANTINS;71,61;7,35;22,88;337,28;0,589
1501600;BONITO;71,22;7,52;23,23;218,05;0,546
1501709;BRAGANÇA;70,27;9,31;16,94;311,97;0,6
1501725;BRASIL NOVO;73,55;8,68;19,15;408,55;0,613
1501758;BREJO GRANDE DO ARAGUAIA;69,57;8,38;21,85;310,08;0,591
1501782;BREU BRANCO;71,87;8,03;22,15;252,31;0,568
1501808;BREVES;71,65;6,54;26,91;209,14;0,503
1501907;BUJARU;71,76;7,65;15,85;174,18;0,552
1501956;CACHOEIRA DO PIRIÁ;71,73;6,67;30,96;130,4;0,473
